id,perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,sourcing_channel,residence_area_type,premium,renewal
110936,0.429,12058,355060,0,0,0,99.02,13,C,,3300,1
41492,0.01,21546,315150,0,0,0,99.89,21,A,Urban,18000,1
31300,0.917,17531,84140,2,3,1,98.69,7,C,Rural,3300,0
19415,0.049,15341,250510,0,0,0,99.57,9,A,Urban,9600,1
99379,0.052,31400,198680,0,0,0,99.87,12,B,Urban,9600,1
59951,0.54,17527,282080,2,0,0,99.18,9,B,Rural,22200,1
54031,1,24829,118400,0,0,0,99.05,11,B,Urban,7500,1
94290,1,21911,180240,1,6,4,99.33,3,A,Urban,9600,0
93730,0.621,9868,92520,0,0,0,99.58,4,A,Urban,7500,1
84844,0.908,23008,107180,2,0,0,98.91,11,A,Rural,5400,0
87400,0.051,17529,200100,1,0,0,98.66,22,C,Rural,1200,1
51808,0.033,16075,122060,0,0,0,97.03,7,B,Urban,1200,1
104167,1,16436,27290,1,0,1,98.32,4,A,Urban,1200,1
52420,0.111,19723,136000,0,0,0,99.59,9,A,Urban,11700,1
42421,0.027,16430,114110,0,0,1,98.7,13,D,Urban,7500,1
91820,0.963,12788,90140,1,0,0,99.06,9,A,Urban,5400,1
64685,0.055,23010,410310,0,0,0,99.66,10,A,Urban,18000,1
60263,0.125,22639,315110,0,0,0,99.31,14,A,Rural,3300,1
68260,0.012,16433,87530,0,0,0,,5,A,Rural,3300,1
4043,0,11687,152610,1,2,1,99.53,5,C,Urban,9600,0
100259,0.455,17530,190090,0,0,0,99.22,31,A,Urban,5400,1
90347,0.229,17895,364950,0,0,0,99.07,10,A,Rural,24300,1
92720,0.307,24466,360110,0,0,0,99.02,14,A,Rural,3300,1
72071,0.88,17161,225090,1,0,1,99.72,21,C,Rural,3300,1
19900,0.87,16430,240040,0,0,0,98.83,10,A,Urban,13800,1
111305,0.03,32495,315070,0,0,0,99.89,9,A,Urban,7500,1
27507,0,8406,24690,0,0,0,,4,A,Urban,1200,1
53784,0,15342,236820,0,0,0,99.84,7,C,Urban,11700,1
102354,0,22273,395050,0,0,0,98.61,8,A,Urban,34800,1
108046,0.036,21179,82540,0,0,0,99.6,8,B,Rural,1200,1
23345,0.326,17895,200050,0,0,0,98.79,11,A,Rural,1200,0
78919,0.39,15345,128640,0,0,0,97.42,16,A,Rural,9600,1
96413,0.301,13513,150080,0,0,0,97.44,15,A,Urban,9600,0
112206,0.016,11693,75060,0,0,0,99.77,10,A,Urban,5700,1
99930,0.023,23007,245040,0,0,0,98.94,22,A,Urban,24300,1
5676,0.135,13149,107030,0,0,0,99.43,6,A,Urban,7500,1
61854,0.036,21549,150090,0,0,0,99.89,9,A,Rural,9600,1
36995,0.003,23000,288080,0,0,0,99.57,23,A,Urban,15900,1
95506,0.631,16438,337600,0,0,0,99.66,7,C,Rural,28500,1
60644,0,16799,99230,0,0,0,,6,A,Rural,5700,1
35172,0.945,17165,105520,0,10,0,99.58,8,C,Urban,5400,0
63251,0.007,10594,185580,0,0,0,99.32,14,A,Urban,9600,1
39517,0.04,21545,316090,0,0,0,99.52,8,B,Urban,28500,1
66520,0,21542,390130,0,0,0,92.82,22,A,Urban,47400,1
3982,0.026,26290,87050,0,0,0,99.32,8,A,Rural,3300,1
7217,0.863,18992,92450,3,1,2,98.77,11,B,Urban,3300,0
58239,0.273,18262,129110,0,0,0,99.2,6,A,Urban,7500,1
79311,0.201,16800,229580,0,0,0,99.05,9,D,Rural,18000,1
87338,0.013,33960,73530,0,0,0,99.89,3,A,Rural,1200,1
107166,0,22635,242790,0,0,0,99.09,11,B,Rural,1200,1
74754,0.043,14974,75050,0,0,0,97.85,11,A,Urban,3300,1
74125,0.016,16798,84110,0,0,0,99.18,13,D,Urban,3300,1
62956,0.316,21915,132600,0,0,0,98.91,8,A,Urban,9600,1
49936,0.292,16075,87630,0,0,0,99.03,11,C,Urban,5400,1
30232,0.069,13878,296550,0,0,0,99.5,13,D,Urban,18000,1
72182,0.543,13154,96130,0,0,0,98.19,10,C,Urban,7500,1
76019,0.659,16440,180120,0,0,0,99.13,12,D,Urban,5400,1
85698,0.023,25194,285100,1,0,0,99.1,16,B,Rural,13800,1
14238,0.317,12420,175320,0,0,0,98.93,21,A,Rural,9600,1
76014,0.376,14610,135070,0,0,0,98.94,12,D,Rural,11700,1
48944,0,20810,150120,0,0,0,,5,A,Urban,7500,1
91494,0,13875,125060,0,0,0,,10,B,Urban,11700,1
16354,0.971,9870,31570,1,1,0,99.17,8,A,Urban,5700,0
9326,0.024,20454,180040,0,0,0,98.43,11,C,Rural,5400,1
109569,0.368,21905,394170,0,0,0,99.35,12,A,Rural,32700,1
108023,0.399,22277,210050,1,0,0,98.9,14,A,Rural,9600,1
98832,0.067,14970,300140,0,0,2,99.25,9,B,Rural,13800,1
74373,0.001,21175,278920,0,0,0,99.33,12,A,Rural,9600,1
49812,0.554,17894,287530,0,1,0,98.55,15,B,Rural,3300,1
97679,0.48,26658,494050,0,0,0,98.89,20,B,Urban,24300,1
26871,0.225,22272,120020,0,0,0,98.43,9,B,Urban,7500,1
43930,0,17896,227150,0,0,0,98.83,11,B,Urban,1200,1
70924,0.075,23368,166660,0,0,0,99.34,10,A,Urban,7500,1
55135,0.412,9495,161350,0,0,0,99.7,6,B,Urban,7500,1
15709,0.842,18987,351130,1,0,0,98.63,12,B,Rural,1200,1
99477,0.332,18989,361610,0,0,0,99.64,7,C,Urban,13800,1
65014,0.266,18259,187550,1,0,0,,3,A,Urban,18000,1
47377,0,8044,24660,0,0,0,,4,A,Urban,1200,1
85967,0.194,16072,400070,1,0,0,99.3,18,A,Urban,22200,1
3835,0.109,20085,78150,1,0,0,98.12,17,C,Rural,3300,1
103459,0.585,16804,60030,0,0,0,98.37,5,B,Urban,5700,0
31975,1,16065,329550,0,0,0,99.77,2,D,Urban,18000,0
39662,0.568,20811,123060,0,0,0,98.07,9,A,Rural,3300,1
70203,0.671,13514,135110,1,0,0,98.9,6,A,Rural,1200,1
49811,0.327,21550,55360,1,0,0,,22,A,Urban,5400,0
101398,0.997,13877,202650,1,1,2,99.01,10,C,Rural,26400,1
105530,0.589,19716,241240,1,0,0,98.86,12,C,Rural,11700,1
18063,0.004,15708,195970,0,0,0,99.64,12,C,Rural,22200,1
112660,0.07,25200,67050,0,0,0,98.14,14,A,Urban,5700,1
47652,0.052,10961,180040,0,0,0,99.83,12,C,Rural,11700,1
71894,0.034,23733,266270,0,0,0,99.7,7,C,Urban,13800,1
50118,0.046,15706,60050,0,0,0,99.56,11,A,Urban,3300,1
34577,0.163,22276,900030,0,0,0,99.66,12,A,Rural,39000,1
70808,0.398,20086,299900,0,0,0,99.63,8,B,Urban,20100,1
28257,0.056,19350,80090,0,0,0,99.78,9,A,Urban,3300,1
41753,0.725,26295,216070,0,0,0,98.6,14,A,Urban,11700,0
112926,0.966,28119,191160,0,0,0,98.57,28,B,Urban,9600,1
27602,0,11695,162550,0,0,0,98.34,10,B,Urban,5400,1
103017,0,15707,90090,0,0,0,99.79,7,B,Rural,7500,1
87766,0.738,13148,77200,0,0,0,98.76,17,A,Rural,3300,1
25320,0.452,21177,84030,0,0,0,98.92,12,A,Urban,5700,1
23319,0.033,13877,184500,0,0,0,99.41,8,B,Urban,13800,1
20280,0.503,18257,112540,3,0,0,99.74,13,A,Urban,5400,0
55311,0.465,17168,212610,1,3,0,99.62,8,A,Urban,1200,1
52009,0.133,21178,138080,0,0,0,99.3,8,A,Urban,13800,1
53847,0.538,14971,162070,0,0,0,99.59,5,A,Urban,1200,1
102935,0.012,22641,250070,0,0,0,99.64,8,C,Urban,22200,1
11525,0.476,8769,42940,0,0,0,99.83,4,A,Urban,3300,1
37837,0.028,22278,129110,0,0,0,99.1,6,A,Rural,9600,1
